height,timestamp,diff,change,bits,average_time(seconds),average_hashrate,,Hash Power In Giga Hash,P_t
2016,1233063531,1,0,0x1d00ffff,1020,4209307,,4.97E-08,25631041.17
4032,1234466190,1,0,0x1d00ffff,696,6173028,,6.3132E-06,17477472.02
6048,1235966513,1,0,0x1d00ffff,744,5771193,,6.06465E-06,18694388.41
8064,1237508786,1,0,0x1d00ffff,765,5614216,,6.3132E-06,19217095.19
10080,1239055463,1,0,0x1d00ffff,767,5598230,,5.51784E-06,19271970.47
12096,1240599098,1,0,0x1d00ffff,766,5609262,,5.21958E-06,19234067.38
14112,1242098425,1,0,0x1d00ffff,744,5775027,,4.72248E-06,18681977.34
16128,1243737085,1,0,0x1d00ffff,813,5283984,,6.41262E-06,20418101.71
18144,1246051973,1,0,0x1d00ffff,1148,3740420,,5.91552E-06,28844065.71
20160,1248481816,1,0,0x1d00ffff,1205,3563462,,6.11436E-06,30276433.42
22176,1252069298,1,0,0x1d00ffff,1780,2413574,,7.10857E-06,44700895.09
24192,1254454028,1,0,0x1d00ffff,1183,3630873,,5.319E-06,29714319.42
26208,1257002900,1,0,0x1d00ffff,1264,3397053,,4.12595E-06,31759563.28
28224,1259358667,1,0,0x1d00ffff,1169,3675513,,4.22537E-06,29353431.8
30240,1261130161,1,0,0x1d00ffff,879,4887769,,3.92711E-06,22073244.89
32256,1262153464,1,0,0x1d00d86a,508,8461476,,3.72827E-06,12750603.78
34272,1263250117,1,0,0x1d00c428,544,7895527,,7.45654E-07,13664563.1
36288,1264424879,1,0,0x1d00be71,583,7370560,,8.45075E-07,14637819.39
38304,1265319794,1,0,0x1d008cc3,444,9675392,,4.12595E-06,11150858.77
40320,1266191579,2,100,0x1c654657,432,9932098,,3.52943E-06,10862652.6
42336,1267000864,3,50,0x1c43b3e5,401,21398281,,4.67277E-06,5041944.656
44352,1268010873,4,33.33,0x1c387f6f,501,25718545,,3.47972E-06,4194986.748
46368,1269212064,4,0,0x1c381375,596,28833562,,4.27508E-06,3741783.982
48384,1270120042,6,50,0x1c2a1115,450,38144774,,2.83349E-06,2828407.774
50400,1271061586,7,16.67,0x1c20bca7,467,55177372,,4.52363E-06,1955312.453
52416,1271886772,11,57.14,0x1c16546f,409,73450808,,3.28088E-06,1468861.062
54432,1272966376,12,9.09,0x1c13ec53,536,88222343,,5.16987E-06,1222922.128
56448,1274278435,11,-8.33,0x1c159c24,651,79191445,,8.40104E-06,1362382.528
58464,1275141448,16,45.45,0x1c0f675c,428,110363568,,1.12312E-05,977578.8589
60480,1276298786,17,6.25,0x1c0eba64,574,119704412,,9.73125E-06,901295.9841
62496,1277382446,19,11.76,0x1c0d3142,538,135833304,,2.21493E-05,794275.9872
64512,1278381464,23,21.05,0x1c0ae493,496,164676139,,2.24922E-05,655159.7483
66528,1279008237,45,95.65,0x1c05a3f4,311,317737113,,2.78186E-05,339555.6209
68544,1279297779,181,302.22,0x1c0168fd,144,1345709545,,2.77047E-05,80174.11174
70560,1280198558,244,34.81,0x1c010c5a,447,1739845607,,4.69756E-05,62012.22546
72576,1281037595,352,44.26,0x1c00ba18,416,2518019578,,8.43532E-05,42848.33369
74592,1281870671,511,45.17,0x1c00800e,413,3658545237,,9.6882E-05,29491.16684
76608,1282864403,623,21.92,0x1b692098,493,4452480376,,8.75069E-05,24232.79367
78624,1283922289,712,14.29,0x1b5bede6,525,5099170879,,0.000113065,21159.72881
80640,1284861847,917,28.79,0x1b4766ed,466,6561555217,,0.000114833,16444.1827
82656,1285703908,1318,43.73,0x1b31b2a3,418,9429228738,,0.000136518,11443.56596
84672,1286861705,1378,4.55,0x1b2f8e9d,574,9856741779,,0.00020064,10947.29755
86688,1287637995,2149,55.95,0x1b1e7eca,385,15370061841,,0.001407832,7021.019662
88704,1288479527,3091,43.83,0x1b153263,417,22111396350,,0.002124483,4880.935189
90720,1289305768,4536,46.75,0x1b0e7256,410,32392364608,,0.003623748,3332.289673
92736,1290105874,6866,51.37,0x1b098b2a,397,49088064401,,0.005215282,2199.464504
94752,1291135075,8078,17.65,0x1b081cd2,511,57763564975,,0.005020175,1869.367586
